10Y,7Y,5Y,3Y,2Y,1Y
4.01,3.66,3.26,2.78,2.53,2.2
4.01,3.68,3.29,2.83,2.57,2.23
4,3.66,3.26,2.79,2.55,2.23
3.99,3.63,3.25,2.78,2.54,2.24
4.01,3.65,3.26,2.8,2.54,2.24
4.11,3.76,3.37,2.89,2.63,2.3
4.09,3.74,3.34,2.86,2.59,2.29
4.05,3.7,3.3,2.82,2.56,2.28
4.11,3.76,3.36,2.89,2.61,2.34
4.1,3.75,3.34,2.86,2.6,2.33
4.09,3.74,3.35,2.85,2.6,2.32
4.1,3.76,3.37,2.89,2.63,2.34
4.21,3.88,3.51,3.04,2.8,2.44
4.22,3.88,3.51,3.08,2.8,2.47
4.22,3.88,3.53,3.05,2.8,2.46
4.25,3.89,3.56,3.07,2.82,2.47
NA,NA,NA,NA,NA,NA
4.2,3.89,3.53,3.1,2.86,2.49
4.2,3.89,3.53,3.12,2.89,2.53
4.21,3.91,3.56,3.14,2.91,2.54
4.14,3.83,3.47,3.07,2.85,2.5
4.12,3.81,3.48,3.08,2.86,2.51
4.2,3.91,3.57,3.17,2.95,2.56
4.18,3.9,3.56,3.18,2.95,2.6
4.19,3.92,3.58,3.2,2.98,2.6
4.2,3.93,3.61,3.23,3.01,2.6
NA,NA,NA,NA,NA,NA
4.24,3.98,3.64,3.25,3.03,2.61
4.34,4.06,3.72,3.31,3.07,2.66
4.36,4.07,3.72,3.29,3.02,2.63
4.38,4.08,3.72,3.28,3.01,2.6
4.4,4.1,3.75,3.3,3.04,2.62
4.27,3.96,3.61,3.19,2.94,2.58
4.24,3.94,3.59,3.17,2.93,2.6
4.23,3.94,3.6,3.19,2.95,2.6
4.14,3.85,3.53,3.12,2.91,2.59
4.19,3.87,3.54,3.15,2.93,2.59
4.16,3.85,3.52,3.15,2.95,2.61
4.16,3.85,3.54,3.18,2.98,2.66
4.14,3.83,3.53,3.17,2.99,2.65
4.09,3.78,3.48,3.14,2.97,2.64
4.19,3.89,3.58,3.21,3.01,2.66
4.21,3.91,3.59,3.22,3.03,2.67
4.21,3.91,3.59,3.23,3.06,2.72
4.18,3.89,3.57,3.22,3.05,2.72
4.21,3.91,3.57,3.21,3.04,2.71
4.23,3.92,3.58,3.21,3.02,2.7
NA,NA,NA,NA,NA,NA
4.3,3.99,3.65,3.26,3.07,2.78
4.31,4,3.66,3.27,3.08,2.77
4.33,4.03,3.69,3.32,3.12,2.77
4.27,3.97,3.64,3.27,3.1,2.76
4.24,3.94,3.63,3.25,3.08,2.75
4.23,3.94,3.64,3.28,3.1,2.79
4.29,4.02,3.72,3.38,3.2,2.82
4.29,4.02,3.73,3.39,3.22,2.83
4.29,4.01,3.71,3.36,3.18,2.82
4.29,4.03,3.73,3.4,3.2,2.82
4.29,4.03,3.75,3.41,3.23,2.86
4.26,4,3.73,3.41,3.24,2.86
4.25,4,3.72,3.38,3.22,2.84
4.2,3.95,3.68,3.36,3.21,2.84
4.23,3.97,3.71,3.41,3.24,2.87
NA,NA,NA,NA,NA,NA
4.21,3.97,3.72,3.42,3.26,2.9
4.2,3.97,3.73,3.42,3.26,2.88
4.17,3.94,3.68,3.38,3.21,2.85
4.16,3.92,3.65,3.33,3.16,2.83
4.14,3.9,3.65,3.36,3.2,2.86
4.2,3.97,3.71,3.39,3.23,2.88
4.21,3.98,3.73,3.43,3.27,2.9
4.22,4,3.75,3.45,3.28,2.91
4.16,3.93,3.69,3.41,3.25,2.89
4.14,3.92,3.71,3.43,3.29,2.96
4.15,3.93,3.71,3.43,3.29,2.95
4.15,3.93,3.73,3.47,3.32,2.95
4.18,3.97,3.76,3.51,3.34,2.96
4.09,3.88,3.68,3.44,3.29,2.93
4.07,3.87,3.67,3.46,3.31,2.96
4.05,3.86,3.68,3.47,3.33,2.97
4,3.79,3.58,3.38,3.24,2.93
4.07,3.86,3.65,3.43,3.29,2.96
4.1,3.9,3.7,3.48,3.34,3
4.08,3.88,3.7,3.51,3.38,3.03
4.1,3.91,3.71,3.51,3.37,3.03
4.16,3.97,3.78,3.56,3.41,3.05
4.19,3.99,3.78,3.55,3.38,3.03
4.27,4.07,3.86,3.62,3.45,3.09
NA,NA,NA,NA,NA,NA
4.29,4.09,3.88,3.62,3.46,3.12
4.27,4.08,3.87,3.63,3.46,3.12
4.29,4.1,3.91,3.67,3.52,3.13
4.27,4.09,3.91,3.68,3.54,3.15
4.36,4.18,4,3.75,3.59,3.2
4.38,4.19,4.02,3.76,3.59,3.2
4.38,4.2,4,3.75,3.57,3.19
4.39,4.2,4.02,3.76,3.59,3.19
4.32,4.15,3.97,3.73,3.57,3.2
4.31,4.15,3.99,3.76,3.61,3.22
4.38,4.22,4.05,3.79,3.62,3.23
4.52,4.35,4.16,3.87,3.66,3.24
4.48,4.29,4.13,3.87,3.68,3.25
4.56,4.39,4.22,3.94,3.73,3.28
4.52,4.36,4.2,3.95,3.75,3.32
4.54,4.38,4.22,3.96,3.75,3.32
4.52,4.35,4.18,3.92,3.72,3.3
4.47,4.3,4.14,3.89,3.7,3.29
4.51,4.34,4.18,3.91,3.72,3.32
4.53,4.35,4.18,3.93,3.72,3.33
4.63,4.45,4.31,4.06,3.86,3.4
4.61,4.45,4.3,4.05,3.84,3.38
4.6,4.44,4.3,4.06,3.88,3.41
NA,NA,NA,NA,NA,NA
4.64,4.48,4.33,4.09,3.9,3.43
4.6,4.44,4.3,4.05,3.87,3.41
4.56,4.4,4.26,4.03,3.86,3.39
4.5,4.33,4.18,3.96,3.8,3.35
4.46,4.29,4.13,3.9,3.75,3.34
